0.245165 0 -0.0159193 0 0.136789 0 -0.361049 0 -0.41846 0 0 -0.356651 0 0.154269 0 -0.244532 0 0.0998611 0 -0.266285
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.23375 0 0.116941 0 -0.176504 0 0.193187 0 -0.0946491 0 0 0.087143 0 -0.10387 0 -0.180224 0 0.1081 0 0.0765354
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0403865 0 -0.398773 0 0.136845 0 0.271576 0 0.352726 0 0 -0.289536 0 0.174682 0 0.076643 0 -0.282242 0 0.0135097
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0321495 0 -0.151932 0 -0.30993 0 0.29275 0 -0.206281 0 0 0.14159 0 -0.0529766 0 0.102383 0 -0.185865 0 0.315982
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.119494 0 0.0179591 0 0.00336252 0 0.0826698 0 0.183237 0 0 -0.272608 0 0.527935 0 -0.0692447 0 -0.00971775 0 -0.151269
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.473822 0 0.134134 0 -0.161941 0 -0.0581206 0 0.037181 0 0 -0.090476 0 0.134622 0 0.0176664 0 0.093923 0 -0.225768
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.200415 0 -0.0660103 0 -0.0278051 0 0.0022223 0 0.332018 0 0 -0.239462 0 -0.089711 0 0.0220401 0 0.245891 0 -0.0355032
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.115649 0 -0.190412 0 0.237534 0 0.215826 0 0.118615 0 0 -0.0629116 0 0.574187 0 -0.074769 0 -0.387019 0 0.0192123
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0145858 0 -0.0801734 0 -0.129449 0 0.122807 0 0.399063 0 0 -0.375476 0 0.299053 0 0.084669 0 -0.219251 0 0.294273
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.134421 0 -0.00610928 0 -0.249663 0 0.168929 0 0.00324031 0 0 -0.0815934 0 -0.14934 0 0.030877 0 -0.143913 0 0.101298
